Date,Pred,Ret,Strategy_Ret,Correct
2023-09-18,0,0.017075246134672373,0.0,False
2023-09-19,0,-0.00290724465500225,-0.0,True
2023-09-20,0,-0.02080107760178318,-0.0,True
2023-09-21,0,0.0004492514240630463,0.0,False
2023-09-22,0,-6.686879658768241e-06,-0.0,True
2023-09-23,0,-0.01213588594546644,-0.0,True
2023-09-24,0,0.0015864178176880905,0.0,False
2023-09-25,0,-0.0030887894396227633,-0.0,True
2023-09-26,0,0.005167086436411061,0.0,False
2023-09-27,0,0.02537992888096885,0.0,False
2023-09-28,0,-0.004064392478456136,-0.0,True
2023-09-29,0,0.0020881352448591795,0.0,False
2023-09-30,0,0.037668241913332734,0.0,False
2023-10-01,0,-0.016186709920936293,-0.0,True
2023-10-02,0,-0.003661597010505724,-0.0,True
2023-10-03,0,0.013467601347721292,0.0,False
2023-10-04,0,-0.01379463216164356,-0.0,True
2023-10-05,0,0.01935684447622399,0.0,False
2023-10-06,0,0.0007958817661306572,0.0,False
2023-10-07,0,-0.001206700034343422,-0.0,True
2023-10-08,0,-0.012579594744121514,-0.0,True
2023-10-09,0,-0.006984500217130485,-0.0,True
2023-10-10,0,-0.018900326735168282,-0.0,True
2023-10-11,0,-0.0043359541366684295,-0.0,True
2023-10-12,0,0.003945769916393171,0.0,False
2023-10-13,0,-2.4866332556272575e-05,-0.0,True
2023-10-14,0,0.011091823470242623,0.0,False
2023-10-15,0,0.05006744695824206,0.0,False
2023-10-16,0,-0.0036367703063566736,-0.0,True
2023-10-17,0,-0.0030759792019486865,-0.0,True
2023-10-18,0,0.013818840741083749,0.0,False
2023-10-19,0,0.033535830870205396,0.0,False
2023-10-20,0,0.007932597562652743,0.0,False
2023-10-21,0,0.002523007395046406,0.0,False
2023-10-22,0,0.10309890521346299,0.0,False
2023-10-23,0,0.02464145540134477,0.0,False
2023-10-24,0,0.017736456610143003,0.0,False
2023-10-25,0,-0.010033147199696724,-0.0,True
2023-10-26,0,-0.007226928505637331,-0.0,True
2023-10-27,0,0.005301518539129857,0.0,False
2023-10-28,0,0.013168432293093613,0.0,False
2023-10-29,0,-0.0010457086417764438,-0.0,True
2023-10-30,0,0.004794395311462418,0.0,False
2023-10-31,0,0.022195613001625203,0.0,False
2023-11-01,0,-0.014081557224217889,-0.0,True
2023-11-02,0,-0.005893770145759425,-0.0,True
2023-11-03,0,0.010073356782761111,0.0,False
2023-11-04,0,-0.0009360829177728069,-0.0,True
2023-11-05,0,-0.0003419285416157436,-0.0,True
2023-11-06,0,0.011593090279608864,0.0,False
2023-11-07,0,0.005973294692089626,0.0,False
2023-11-08,0,0.029107827327892632,0.0,False
2023-11-09,0,0.01691989303173269,0.0,False
2023-11-10,0,-0.0047145338500075296,-0.0,True
2023-11-11,0,-0.002249209321512735,-0.0,True
2023-11-12,0,-0.014901395821212304,-0.0,True
2023-11-13,0,-0.026428838121854925,-0.0,True
2023-11-14,0,0.06592844558740318,0.0,False
2023-11-15,0,-0.04555929205565723,-0.0,True
2023-11-16,0,0.012222842746045792,0.0,False
2023-11-17,0,-0.000300039994658885,-0.0,True
